#,Business Name,Phone,Phone (formatted),City,State,Niche,Source,Verification
1,Ace Electric Co. Inc.,+18042662429,(804) 266-2429,Richmond,VA,Electrical,Manual 64,GBP-verified
2,Bradley Electric,+16143922908,(614) 392-2908,Columbus,OH,Electrical,Manual 64,GBP-verified
3,Buckeye Electric of Upper Arlington,+16146648800,(614) 664-8800,Columbus,OH,Electrical,Manual 64,GBP-verified
4,Care Electric LLC,+16143698737,(614) 369-8737,Columbus,OH,Electrical,Manual 64,GBP-verified
5,Connect Electrical Services,+18048445613,(804) 844-5613,Richmond,VA,Electrical,Manual 64,GBP-verified
6,Dify Electrical Contracting,+15402592774,(540) 259-2774,Richmond,VA,Electrical,Manual 64,GBP-verified
7,J&M Electrical Service,+18042765580,(804) 276-5580,Richmond,VA,Electrical,Manual 64,GBP-verified
8,Just Right Electric LLC,+16149027605,(614) 902-7605,Columbus,OH,Electrical,Manual 64,GBP-verified
9,Lauterbach Electric,+18045533900,(804) 553-3900,Richmond,VA,Electrical,Manual 64,GBP-verified
10,Quality Electric,+16144319500,(614) 431-9500,Columbus,OH,Electrical,Manual 64,GBP-verified
11,R & T Yoder Electric Inc,+16146650445,(614) 665-0445,Columbus,OH,Electrical,Manual 64,GBP-verified
12,RK Newman Electric Services,+18044371033,(804) 437-1033,Richmond,VA,Electrical,Manual 64,GBP-verified
13,Safe Electric and Plumbing,+16142674111,(614) 267-4111,Columbus,OH,Electrical,Manual 64,GBP-verified
14,A2Z Builders,+17209029152,(720) 902-9152,Denver,CO,General Contractor,Manual 64,GBP-verified
15,Denver Dream Builders,+13034062225,(303) 406-2225,Denver,CO,General Contractor,Manual 64,GBP-verified
16,Dohn Construction,+13036804565,(303) 680-4565,Denver,CO,General Contractor,Manual 64,GBP-verified
17,Faros Construction Services,+17205945604,(720) 594-5604,Denver,CO,General Contractor,Manual 64,GBP-verified
18,Kalin Construction Corp,+13033507762,(303) 350-7762,Denver,CO,General Contractor,Manual 64,GBP-verified
19,Spectrum General Contractors Inc.,+13033298003,(303) 329-8003,Denver,CO,General Contractor,Manual 64,GBP-verified
20,1st Choice Plumbing Air & Insulation,+16232923697,(623) 292-3697,Phoenix,AZ,HVAC,Manual 64,GBP-verified
21,AZ Perfect Comfort Heating & Cooling,+16028588261,(602) 858-8261,Phoenix,AZ,HVAC,Manual 64,GBP-corrected
22,Benefit Air Conditioning,+16028409229,(602) 840-9229,Phoenix,AZ,HVAC,Manual 64,GBP-verified
23,Bold City Heating & Air,+19043791648,(904) 379-1648,Jacksonville,FL,HVAC,Manual 64,GBP-verified
24,Cool R Us Inc A/C & Heating,+19045920651,(904) 592-0651,Jacksonville,FL,HVAC,Manual 64,GBP-verified
25,Desert Diamond Air Cooling & Heating,+16232462377,(623) 246-2377,Phoenix,AZ,HVAC,Manual 64,GBP-verified
26,Elite AC,+19044200075,(904) 420-0075,Jacksonville,FL,HVAC,Manual 64,GBP-verified
27,Hammond Heating & Air Conditioning,+19048933341,(904) 893-3341,Jacksonville,FL,HVAC,Manual 64,GBP-verified
28,Hobaica Services,+16026339555,(602) 633-9555,Phoenix,AZ,HVAC,Manual 64,GBP-corrected
29,Ideal Air Conditioning and Insulation,+14805737604,(480) 573-7604,Phoenix,AZ,HVAC,Manual 64,GBP-verified
30,J&W Heating and Air & Plumbing,+19047805787,(904) 780-5787,Jacksonville,FL,HVAC,Manual 64,GBP-verified
31,A.D. Landscape Service,+19162652745,(916) 265-2745,Sacramento,CA,Landscaping,Manual 64,GBP-verified
32,Agape Lawn Company,+19843438296,(984) 343-8296,Raleigh,NC,Landscaping,Manual 64,GBP-verified
33,Bright Home Landscapes,+19166949635,(916) 694-9635,Sacramento,CA,Landscaping,Manual 64,GBP-verified
34,Caligreen Landscaping,+19169995249,(916) 999-5249,Sacramento,CA,Landscaping,Manual 64,GBP-verified
35,Currin Outdoor Living,+19192347888,(919) 234-7888,Raleigh,NC,Landscaping,Manual 64,GBP-verified
36,DreamScapes,+19198682198,(919) 868-2198,Raleigh,NC,Landscaping,Manual 64,GBP-verified
37,Loose Dirt Landscaping,+19162435120,(916) 243-5120,Sacramento,CA,Landscaping,Manual 64,GBP-verified
38,Walters Landscapes LLC,+19193956833,(919) 395-6833,Raleigh,NC,Landscaping,Manual 64,GBP-verified
39,100 Percent Plumbing,+16154311100,(615) 431-1100,Nashville,TN,Plumbing,Manual 64,GBP-verified
40,1st Call Plumbing & AC,+12104460200,(210) 446-0200,San Antonio,TX,Plumbing,Manual 64,GBP-verified
41,615 Plumbing,+16156252386,(615) 625-2386,Nashville,TN,Plumbing,Manual 64,GBP-verified
42,Big City Plumbing LLC,+12104991010,(210) 499-1010,San Antonio,TX,Plumbing,Manual 64,GBP-verified
43,Chambliss Plumbing Company,+12108022439,(210) 802-2439,San Antonio,TX,Plumbing,Manual 64,GBP-verified
44,Doctor Drips Plumbing,+16159700047,(615) 970-0047,Nashville,TN,Plumbing,Manual 64,GBP-verified
45,George Plumbing Co.,+12107400748,(210) 740-0748,San Antonio,TX,Plumbing,Manual 64,GBP-verified
46,Holt Plumbing Company,+16153616001,(615) 361-6001,Nashville,TN,Plumbing,Manual 64,GBP-verified
47,Jack Ward & Sons Plumbing Company,+16152050691,(615) 205-0691,Nashville,TN,Plumbing,Manual 64,GBP-verified
48,Parthenon Plumbing Heating & AC Repair,+16292765129,(629) 276-5129,Nashville,TN,Plumbing,Manual 64,GBP-verified
49,Reliant Plumbing,+12104688020,(210) 468-8020,San Antonio,TX,Plumbing,Manual 64,GBP-corrected
50,Smith & Sons Plumbing,+12103380046,(210) 338-0046,San Antonio,TX,Plumbing,Manual 64,GBP-verified
51,DR Roofing and Construction,+12818152422,(281) 815-2422,Houston,TX,Roofing,Manual 64,GBP-verified
52,EZ Roof and Construction,+18329795409,(832) 979-5409,Houston,TX,Roofing,Manual 64,GBP-verified
53,Elite Roofing of Georgia,+17705259630,(770) 525-9630,Marietta,GA,Roofing,Manual 64,GBP-verified
54,Georgia Roof Advisors,+16787239995,(678) 723-9995,Marietta,GA,Roofing,Manual 64,GBP-verified
55,Houston Roofing & Construction,+18328027656,(832) 802-7656,Houston,TX,Roofing,Manual 64,GBP-verified
56,JC&C Roofing Company,+12814987663,(281) 498-7663,Houston,TX,Roofing,Manual 64,GBP-verified
57,Summit Roofing,+17705455244,(770) 545-5244,Marietta,GA,Roofing,Manual 64,GBP-verified
58,Supreme Roofing Marietta GA,+16789685061,(678) 968-5061,Marietta,GA,Roofing,Manual 64,GBP-verified
59,TX Roofing & Services,+17867979134,(786) 797-9134,Houston,TX,Roofing,Manual 64,GBP-verified
60,Ampere Electric,+17029791747,(702) 979-1747,Las Vegas,NV,Electrical,New 100,GBP-corrected
61,Black Mountain Electric,+18018195799,(801) 819-5799,San Diego,CA,Electrical,New 100,GBP-corrected
62,Callidus Electric,+17024034562,(702) 403-4562,Las Vegas,NV,Electrical,New 100,GBP-verified
63,Canyon Electric Company Inc.,+17023844747,(702) 384-4747,Las Vegas,NV,Electrical,New 100,GBP-verified
64,Citywide Electric,+17026646250,(210) 857-0899,Las Vegas,NV,Electrical,New 100,Google-verified
65,Electricode,+17029965448,(702) 996-5448,Las Vegas,NV,Electrical,New 100,GBP-corrected
66,Express Electrical Services,+13232754082,(323) 275-4082,San Diego,CA,Electrical,New 100,GBP-corrected
67,Mister Sparky Tampa Bay,+18133584850,(813) 358-4850,Tampa,FL,Electrical,New 100,GBP-corrected
68,PDQ Electric,+17023821100,(702) 382-1100,Las Vegas,NV,Electrical,New 100,GBP-corrected
69,Penny Electric,+17022796040,(702) 279-6040,Las Vegas,NV,Electrical,New 100,GBP-verified
70,Premo Electric,+16199081286,(619) 908-1286,San Diego,CA,Electrical,New 100,GBP-corrected
71,Right Electrical Services,+19193591017,(919) 359-1017,San Diego,CA,Electrical,New 100,GBP-corrected
72,Spears Electric,+17257454806,(725) 745-4806,Las Vegas,NV,Electrical,New 100,GBP-corrected
73,Alvarez Construction Group,+18139693033,(813) 969-3033,Tampa,FL,General Contractor,New 100,GBP-corrected
74,Apex Building Group,+17705351555,(770) 535-1555,Atlanta,GA,General Contractor,New 100,GBP-corrected
75,Benchmark General Contractors,+12394661590,(239) 466-1590,Atlanta,GA,General Contractor,New 100,GBP-corrected
76,Creative Contractors Inc.,+17274615522,(727) 461-5522,Tampa,FL,General Contractor,New 100,GBP-corrected
77,Dalworth Restoration,+12148335053,(214) 833-5053,Dallas,TX,General Contractor,New 100,GBP-corrected
78,Renowned Renovation,+19722327122,(972) 232-7122,Dallas,TX,General Contractor,New 100,GBP-corrected
79,Statewide Remodeling,+16825641328,(682) 564-1328,Dallas,TX,General Contractor,New 100,GBP-corrected
80,Transcend Builders,+18646632217,(864) 663-2217,Dallas,TX,General Contractor,New 100,GBP-corrected
81,AmeriTech Air & Heat,+14077437106,(407) 743-7106,Orlando,FL,HVAC,New 100,GBP-verified
82,Blue Ox Heating & Air,+16513001636,(651) 300-1636,Minneapolis,MN,HVAC,New 100,GBP-verified
83,Boehm Heating & Air Conditioning,+16516441410,(651) 644-1410,Minneapolis,MN,HVAC,New 100,GBP-corrected
84,Ferran Air Conditioning Electrical & Plumbing,+14074223551,(407) 422-3551,Orlando,FL,HVAC,New 100,GBP-verified
85,Mechanical Air LLC,+14079601591,(407) 960-1591,Orlando,FL,HVAC,New 100,GBP-verified
86,Mechanical One of Orlando,+14075372795,(407) 537-2795,Orlando,FL,HVAC,New 100,GBP-verified
87,O'Boys Plumbing Furnace & AC Repair,+17632005622,(763) 200-5622,Minneapolis,MN,HVAC,New 100,GBP-verified
88,Pronto Heating & Air Conditioning,+19528357777,(952) 835-7777,Minneapolis,MN,HVAC,New 100,GBP-corrected
89,Ray N. Welter Heating Company,+16128256867,(612) 825-6867,Minneapolis,MN,HVAC,New 100,GBP-corrected
90,Rolando's HVAC,+18133736804,(813) 373-6804,Orlando,FL,HVAC,New 100,GBP-corrected
91,Standard Heating & Air Conditioning Inc.,+16128871172,(612) 887-1172,Minneapolis,MN,HVAC,New 100,GBP-verified
92,Big Visions,+17042289599,(704) 228-9599,Charlotte,NC,Landscaping,New 100,GBP-verified
93,Chip-N-Dale's Custom Landscaping,+17026559745,(702) 655-9745,Las Vegas,NV,Landscaping,New 100,GBP-corrected
94,Crown Town Landscapes,+17043003607,(704) 300-3607,Charlotte,NC,Landscaping,New 100,GBP-verified
95,Granados Landscaping & Tree Services,+17044935341,(704) 493-5341,Charlotte,NC,Landscaping,New 100,GBP-corrected
96,MetroGreenscape,+17045040980,(704) 504-0980,Charlotte,NC,Landscaping,New 100,GBP-verified
97,PGA Lawn Care,+17046500078,(704) 650-0078,Charlotte,NC,Landscaping,New 100,GBP-corrected
98,Stewart's Lawn and Landscaping Inc.,+17048407844,(704) 840-7844,Charlotte,NC,Landscaping,New 100,GBP-corrected
99,Wet-Tec Irrigation & Landscape,+17022523151,(702) 252-3151,Las Vegas,NV,Landscaping,New 100,GBP-corrected
100,All Hours Plumbing Heating & Cooling,+18014778471,(801) 477-8471,Salt Lake City,UT,Plumbing,New 100,GBP-verified
101,Bonfe Plumbing Heating Cooling Electrical Sewer,+16125034560,(612) 503-4560,Minneapolis,MN,Plumbing,New 100,GBP-corrected
102,Calfo Mechanical Contractors,+14126504811,(412) 650-4811,Pittsburgh,PA,Plumbing,New 100,GBP-corrected
103,Gillece Services,+14122196474,(412) 219-6474,Pittsburgh,PA,Plumbing,New 100,GBP-corrected
104,Hero Home Services,+16125041620,(612) 504-1620,Minneapolis,MN,Plumbing,New 100,GBP-corrected
105,Just Right Plumbing Heating & Cooling,+18013021154,(801) 302-1154,Salt Lake City,UT,Plumbing,New 100,GBP-verified
106,Manwill Plumbing & Heating,+18012624671,(801) 262-4671,Salt Lake City,UT,Plumbing,New 100,GBP-corrected
107,Millcreek Plumbing Inc.,+18012773342,(801) 277-3342,Salt Lake City,UT,Plumbing,New 100,GBP-corrected
108,Pando Plumbing,+18016886756,(801) 688-6756,Salt Lake City,UT,Plumbing,New 100,GBP-corrected
109,Restano Heating Cooling & Plumbing,+14127933190,(412) 793-3190,Pittsburgh,PA,Plumbing,New 100,GBP-corrected
110,Salt City Plumbing Heating & Air,+18016409785,(801) 640-9785,Salt Lake City,UT,Plumbing,New 100,GBP-verified
111,Scott Hale Plumbing Drains Heating & Air,+18013129038,(801) 312-9038,Salt Lake City,UT,Plumbing,New 100,GBP-corrected
112,Stahl Plumbing Heating & Air Conditioning,+14122731000,(412) 273-1000,Pittsburgh,PA,Plumbing,New 100,GBP-corrected
113,Capstone Bros Contracting,+16128108330,(612) 810-8330,Minneapolis,MN,Roofing,New 100,GBP-corrected
114,Gold Star Roofing,+16122214553,(612) 221-4553,Minneapolis,MN,Roofing,New 100,GBP-corrected
115,IBEX Roof,+15037446468,(503) 744-6468,Portland,OR,Roofing,New 100,GBP-verified
116,Interstate Roofing,+15037555183,(503) 755-5183,Portland,OR,Roofing,New 100,GBP-corrected
117,KVN Portland Roofing,+15034387767,(503) 438-7767,Portland,OR,Roofing,New 100,GBP-verified
118,Lindus Construction,+16512124221,(651) 212-4221,Minneapolis,MN,Roofing,New 100,GBP-corrected
119,Overhead Solutions,+19202288243,(920) 228-8243,Milwaukee,WI,Roofing,New 100,GBP-corrected
120,Peak Performance Roofing,+19719797325,(971) 979-7325,Portland,OR,Roofing,New 100,GBP-corrected
121,Storm Group Roofing,+16128873053,(612) 887-3053,Minneapolis,MN,Roofing,New 100,GBP-corrected
122,Superior Roofing,+15037623123,(503) 762-3123,Portland,OR,Roofing,New 100,GBP-verified
123,Tom Leach Roofing,+15032380303,(503) 238-0303,Portland,OR,Roofing,New 100,GBP-corrected
124,Two States Roofing,+15038693872,(503) 869-3872,Portland,OR,Roofing,New 100,GBP-corrected
125,AC Electric Austin,+15124449700,(512) 648-2449,Austin,TX,Electrical,Original 42,Google-verified
126,Apollo Electric AZ,+14804057591,(480) 550-1975,Scottsdale,AZ,Electrical,Original 42,Maps-corrected
127,Dial One Electrical,+15123710001,(512) 523-5007,Austin,TX,Electrical,Original 42,Google-verified
128,Dodge Electric,+14802106058,(480) 926-1033,Phoenix,AZ,Electrical,Original 42,Maps-corrected
129,Simple Electric AZ,+16022904707,(602) 607-2515,Phoenix,AZ,Electrical,Original 42,Maps-corrected
130,Watt Masters,+16024857901,(602) 485-7901,Phoenix,AZ,Electrical,Original 42,Brand-verified
131,Air Design,+17704838402,(770) 483-8402,Conyers,GA,HVAC,Original 42,Brand-verified
132,Airco Mechanical,+15125371234,(512) 537-1234,Round Rock,TX,HVAC,Original 42,Brand-verified
133,All City Heat and Air,+19802063959,(704) 444-4700,Charlotte,NC,HVAC,Original 42,Maps-corrected
134,"Apex Pros Plumbing, Electrical, Heating and Air",+16143503923,(614) 987-8100,Dublin,OH,HVAC,Original 42,Maps-corrected
135,Bradham Comfort Services,+17049121456,(704) 912-1456,Charlotte,NC,HVAC,Original 42,Brand-verified
136,Casteel Air,+17707586263,(770) 691-5164,Lawrenceville,GA,HVAC,Original 42,Maps-corrected
137,"Coast to Coast Heating & Air, LLC",+13522344978,(352) 234-4978,Ocala,FL,HVAC,Original 42,Brand-verified
138,Forza Services,+15732509000,(573) 250-9000,Farmingdale,NY,HVAC,Original 42,Google-verified
139,Gerald Griffin Heating & Air,+19802775122,(770) 422-0446,Atlanta,GA,HVAC,Original 42,Google-verified
140,Heath's Air,+14804707777,(480) 626-7982,Phoenix,AZ,HVAC,Original 42,Maps-corrected
141,Heights AC and Heating,+18327290017,(713) 360-1234,Houston,TX,HVAC,Original 42,Google-verified
142,Hogue Services,+17709485577,(770) 948-5577,Atlanta,GA,HVAC,Original 42,Brand-verified
143,Integrity HVAC,+17045963119,(704) 469-4622,Charlotte,NC,HVAC,Original 42,Maps-corrected
144,Majestic Air Conditioning,+14073745009,(407) 374-5009,Orlando,FL,HVAC,Original 42,Brand-verified
145,Mandolin HVAC and Plumbing,+18442702345,(844) 270-2345,Raleigh,NC,HVAC,Original 42,Brand-verified
146,Punbar Air,+18327364432,(832) 324-2622,Houston,TX,HVAC,Original 42,Maps-corrected
147,Roman Cavalry Air Conditioning,+17139095456,(832) 318-4100,Houston,TX,HVAC,Original 42,Google-verified
148,Snell Services,+15714707206,(308) 337-6337,Sterling,VA,HVAC,Original 42,Maps-corrected
149,Straight Cool Mechanical,+12105913704,(210) 591-3704,San Antonio,TX,HVAC,Original 42,Brand-verified
150,Terry's AC and Heating,+12814957830,(281) 495-7830,Houston,TX,HVAC,Original 42,Brand-verified
151,Time Savers Heating & Cooling LLC,+15139097283,(513) 909-7283,Loveland,OH,HVAC,Original 42,Brand-verified
152,Total Comfort HVAC & Plumbing,+18045336810,(804) 533-6810,Fredericksburg,VA,HVAC,Original 42,Brand-verified
153,Lawn Capital,+14047988871,(404) 798-8871,Atlanta,GA,Landscaping,Original 42,Brand-verified
154,Texas Garden Materials,+18324091931,(832) 409-1931,Houston,TX,Landscaping,Original 42,Brand-verified
155,919-Plumber,+19197586237,(919) 758-6237,Raleigh,NC,Plumbing,Original 42,Brand-verified
156,Auger Pros Plumbing,+12142066580,(214) 206-6580,Dallas,TX,Plumbing,Original 42,Brand-verified
157,Bay Area Plumbing Inc.,+18136200044,(813) 620-0044,Tampa,FL,Plumbing,Original 42,Brand-verified
158,Flow Plumbing,+12143888838,(214) 388-8210,Houston,TX,Plumbing,Original 42,Google-verified
159,Friend's Plumbing,+17273145763,(727) 428-0323,Tampa,FL,Plumbing,Original 42,Maps-corrected
160,Professor Plumb,+19723626485,(469) 998-3310,Dallas,TX,Plumbing,Original 42,Google-verified
161,Reeves Family Plumbing,+19722473763,(214) 306-7705,Dallas,TX,Plumbing,Original 42,Maps-corrected
162,Sewer Studs,+18132962010,(813) 930-5250,Tampa,FL,Plumbing,Original 42,Google-verified
163,TLC Plumbing Heating Cooling Electrical,+15057619644,(505) 761-9644,Albuquerque,NM,Plumbing,Original 42,Brand-verified
164,Blue Mountain Roofing,+15206387800,(520) 468-8075,Tucson,AZ,Roofing,Original 42,Maps-corrected
165,Encantada Roofing,+15202041726,(520) 445-7334,Tucson,AZ,Roofing,Original 42,Maps-corrected
