#,Score,Business Name,Phone,Phone (formatted),City,State,TZ,Niche,Rating,Reviews,Source,Verification,Original Phone
155,69,Empire Heating & Air Conditioning Inc,+14042940900,(404) 294-0900,Decatur,GA,ET,HVAC,4.9,1151,Google Places API,GBP-verified,
156,69,Comfort Solutions Heating & Cooling LLC,+17708002665,(770) 800-2665,Winston,GA,ET,HVAC,4.9,1384,Google Places API,GBP-verified,
157,69,Palette Plumbing,+14702024432,(470) 202-4432,Atlanta,GA,ET,Plumbing,4.9,291,Google Places API,GBP-verified,
158,69,The Plumbers Guild,+14046945128,(404) 694-5128,Atlanta,GA,ET,Plumbing,4.9,152,Google Places API,GBP-verified,
159,69,Superior Plumbing,+17704227586,(770) 422-7586,Kennesaw,GA,ET,Plumbing,4.8,4961,Google Places API,GBP-verified,
160,69,Roto-Rooter Plumbing & Water Cleanup,+14048152959,(404) 815-2959,Atlanta,GA,ET,Plumbing,4.8,5638,Google Places API,GBP-verified,
161,69,"Innovative Mechanical, LLC",+17707267407,(770) 726-7407,Marietta,GA,ET,HVAC,4.9,313,Google Places API,GBP-verified,
162,69,"Precision Heating & Air, Inc.",+17707586551,(770) 758-6551,Dallas,GA,ET,HVAC,4.9,1874,Google Places API,GBP-verified,
163,69,Texas AirZone LLC,+12148513886,(214) 851-3886,Dallas,TX,CT,HVAC,5,819,Google Places API,GBP-verified,
164,69,Mondragon Mechanical LLC,+19722147002,(972) 214-7002,Dallas,TX,CT,HVAC,4.9,526,Google Places API,GBP-verified,
165,69,United States Home Services,+12143015784,(214) 301-5784,Dallas,TX,CT,HVAC,5,1735,Google Places API,GBP-verified,
166,69,"Mother Modern Plumbing, Sewer & Drain",+14692069515,(469) 206-9515,Dallas,TX,CT,Plumbing,5,243,Google Places API,GBP-verified,
167,69,"Baker Brothers Plumbing, Air & Electric",+12143248811,(214) 324-8811,Mesquite,TX,CT,Plumbing,4.8,24543,Google Places API,GBP-verified,
168,69,Dallas Plumbing & Air Conditioning,+19725236625,(972) 523-6625,Dallas,TX,CT,Plumbing,4.6,1159,Google Places API,GBP-corrected,+12144667557
169,69,Mr. Rooter Plumbing of Farmers Branch,+19722545600,(972) 254-5600,Farmers Branch,TX,CT,Plumbing,4.7,1588,Google Places API,GBP-verified,
170,69,All Masters Plumbing,+12143960270,(214) 396-0270,Dallas,TX,CT,Plumbing,4.5,848,Google Places API,GBP-verified,
171,69,Roto-Rooter Plumbing & Water Cleanup,+19728222200,(972) 822-2200,Dallas,TX,CT,Plumbing,4.8,1066,Google Places API,GBP-verified,
172,69,Pure Plumbing,+14695250000,(469) 525-0000,Richardson,TX,CT,Plumbing,4.8,925,Google Places API,GBP-verified,
173,69,Mr. Rooter Plumbing of Dallas,+12143399027,(214) 339-9027,Dallas,TX,CT,Plumbing,4.8,561,Google Places API,GBP-verified,
174,69,Fort Worth Air Conditioning Co. Inc.,+18173676000,(817) 367-6000,Fort Worth,TX,CT,HVAC,4.9,457,Google Places API,GBP-verified,
175,69,"1st Choice Plumbing, Heating & Air Solutions",+18176741300,(817) 674-1300,Fort Worth,TX,CT,HVAC,4.9,1834,Google Places API,GBP-verified,
176,69,Prime Time Heating And Air LLC,+18178887313,(817) 888-7313,Fort Worth,TX,CT,HVAC,5,585,Google Places API,GBP-verified,
177,69,"NSG Heating and Air Specialists, LLC",+18179934822,(817) 993-4822,Fort Worth,TX,CT,HVAC,5,351,Google Places API,GBP-verified,
178,69,"Comfort Experts, Inc.",+18178394687,(817) 839-4687,Fort Worth,TX,CT,HVAC,4.9,866,Google Places API,GBP-verified,
179,69,Island Breeze Air Conditioning & Heating LLC,+16236926013,(623) 692-6013,Phoenix,AZ,MST,HVAC,5,606,Google Places API,GBP-verified,
180,69,AZ Home Services Group AC Repair & Plumbing Services,+16028067212,(602) 806-7212,Tempe,AZ,MST,HVAC,5,1580,Google Places API,GBP-verified,
181,69,Lincoln AC & Heating Repair,+16232948185,(623) 294-8185,Phoenix,AZ,MST,HVAC,4.9,342,Google Places API,GBP-verified,
182,69,Omnia Plumbing,+14807728342,(480) 772-8342,Scottsdale,AZ,MST,Plumbing,5,156,Google Places API,GBP-verified,
183,69,Cactus Plumbing And Air,+14804189912,(480) 418-9912,Scottsdale,AZ,MST,Plumbing,4.8,347,Google Places API,GBP-verified,
184,69,Flush King Plumbing,+16026441950,(602) 644-1950,Scottsdale,AZ,MST,Plumbing,4.8,469,Google Places API,GBP-verified,
185,69,Neighborhood Plumber & Drain Service,+16027559098,(602) 755-9098,Scottsdale,AZ,MST,Plumbing,5,228,Google Places API,GBP-verified,
186,69,Roto-Rooter Plumbing & Water Cleanup,+14804286335,(480) 428-6335,Scottsdale,AZ,MST,Plumbing,4.8,525,Google Places API,GBP-verified,
187,69,The Clean Plumbers - Tampa,+18137766191,(813) 776-6191,Tampa,FL,ET,Plumbing,4.8,911,Google Places API,GBP-verified,
188,69,"Red Cap Plumbing, Air & Electric",+18135963030,(813) 596-3030,Tampa,FL,ET,Plumbing,4.7,7088,Google Places API,GBP-verified,
189,69,EVERYDAYPLUMBER.com,+18138720200,(813) 872-0200,Tampa,FL,ET,Plumbing,4.8,1252,Google Places API,GBP-verified,
190,69,Grable Plumbing & Air,+18136804806,(813) 680-4806,Tampa,FL,ET,Plumbing,4.8,859,Google Places API,GBP-verified,
191,69,Alvarez Plumbing & Air Conditioning,+18132130533,(813) 213-0533,Tampa,FL,ET,Plumbing,4.8,2468,Google Places API,GBP-verified,
192,69,Mr. Rooter Plumbing of Tampa,+18137042093,(813) 704-2093,Tampa,FL,ET,Plumbing,4.8,554,Google Places API,GBP-verified,
193,69,Apex Plumbing,+18135020008,(813) 502-0008,Tampa,FL,ET,Plumbing,4.9,185,Google Places API,GBP-verified,
194,69,Llona Plumbing,+18134771870,(813) 477-1870,Tampa,FL,ET,Plumbing,4.8,423,Google Places API,GBP-verified,
195,69,Benjamin Franklin Plumbing,+18132787159,(813) 278-7159,Tampa,FL,ET,Plumbing,4.7,2617,Google Places API,GBP-verified,
196,69,Granda Plumbing,+18135992468,(813) 599-2468,Tampa,FL,ET,Plumbing,4.9,165,Google Places API,GBP-verified,
197,69,"B&B Heating & Air Conditioning, Inc.",+13034237905,(303) 423-7905,Wheat Ridge,CO,MT,HVAC,4.9,1361,Google Places API,GBP-verified,
198,69,Applewood Plumbing Heating & Electric,+13034441633,(303) 444-1633,Denver,CO,MT,Plumbing,4.8,16750,Google Places API,GBP-verified,
199,69,"Brothers Plumbing, Heating & Electric",+17209947132,(720) 994-7132,Denver,CO,MT,Plumbing,4.7,8552,Google Places API,GBP-verified,
200,69,A Better Plumber (an Absolute Plumbing Company),+17205798133,(720) 579-8133,Denver,CO,MT,Plumbing,4.8,3296,Google Places API,GBP-verified,
201,69,Prime Plumbing & Heating,+17205428153,(720) 542-8153,Denver,CO,MT,Plumbing,4.8,419,Google Places API,GBP-verified,
202,69,"High 5 Plumbing, Heating, Cooling & Electric",+17203403843,(720) 340-3843,Denver,CO,MT,Plumbing,4.7,2833,Google Places API,GBP-verified,
203,69,"King Rooter & Plumbing | Plumbers Denver, CO | Drain Cleaning | Sewer & Water Line | Tankless Water Heater Repair",+13035025651,(303) 502-5651,Denver,CO,MT,Plumbing,4.7,480,Google Places API,GBP-verified,
204,69,"Time Plumbing, Heating & Electric Denver",+13037586237,(303) 758-6237,Denver,CO,MT,Plumbing,4.6,779,Google Places API,GBP-verified,
205,69,Speed plumbing,+17206706361,(720) 670-6361,Denver,CO,MT,Plumbing,5,179,Google Places API,GBP-verified,
206,69,"Done Plumbing, Heating, Cooling & Electric",+13032189401,(303) 218-9401,Aurora,CO,MT,Plumbing,4.7,4507,Google Places API,GBP-verified,
207,69,"AAA Service Plumbing, Heating & Electric",+17204007902,(720) 400-7902,Golden,CO,MT,Plumbing,4.8,13064,Google Places API,GBP-verified,
208,69,"Doctor Fix-It Plumbing, Heating, Cooling & Electric",+17206471805,(720) 647-1805,Denver,CO,MT,Plumbing,4.7,3920,Google Places API,GBP-verified,
209,69,"Swan Plumbing, Heating & Air of Denver",+17207276479,(720) 727-6479,Commerce City,CO,MT,Plumbing,4.8,3480,Google Places API,GBP-verified,
210,69,Denver Plumber and HVAC,+13034595469,(303) 459-5469,Denver,CO,MT,Plumbing,4.7,868,Google Places API,GBP-verified,
211,68,Miami Air Conditioning Installation & Service Co,+16452414253,(645) 241-4253,Miami,FL,ET,HVAC,5,3,Google Places API,GBP-verified,
212,68,AC Repair near me HVAC Pros,+19543549464,(954) 354-9464,Fort Lauderdale,FL,ET,HVAC,5,5,Google Places API,GBP-verified,
213,68,Coolpro Heating and Cooling,+17706946232,(770) 694-6232,Marietta,GA,ET,HVAC,5,629,Google Places API,GBP-verified,
214,68,Lyons Roofing,+16027372515,(602) 737-2515,Phoenix,AZ,MST,Roofing,4.8,697,Google Places API,GBP-verified,
215,68,Phoenix Roofers by Allstate Roofing Contractors,+16024847663,(602) 484-7663,Phoenix,AZ,MST,Roofing,4.9,210,Google Places API,GBP-verified,
216,68,Reimagine Roofing,+16025841339,(602) 584-1339,Phoenix,AZ,MST,Roofing,4.8,849,Google Places API,GBP-verified,
217,68,SUNVEK Roofing,+16233497663,(623) 349-7663,Phoenix,AZ,MST,Roofing,4.9,240,Google Places API,GBP-verified,
218,68,Multi-Pro Roof Solutions,+16028887663,(602) 888-7663,Phoenix,AZ,MST,Roofing,4.9,305,Google Places API,GBP-verified,
219,67,4 Star Plumbing Services,+19547769888,(954) 776-9888,Fort Lauderdale,FL,ET,Plumbing,4.9,1347,Google Places API,GBP-verified,
220,67,Plumb Works Inc.,+14044100490,(404) 410-0490,Atlanta,GA,ET,Plumbing,4.9,1818,Google Places API,GBP-verified,
221,67,"Plumbers Near Me, LLC",+16026418882,(602) 641-8882,Scottsdale,AZ,MST,Plumbing,5,1047,Google Places API,GBP-verified,
222,67,"EZ Flow Plumbing, LLC",+16026134525,(602) 613-4525,Chandler,AZ,MST,Plumbing,4.9,1249,Google Places API,GBP-verified,
223,67,Olin Plumbing Inc.,+18134435820,(813) 443-5820,Tampa,FL,ET,Plumbing,4.9,1216,Google Places API,GBP-verified,
224,67,Tampa Bay Plumbing LLC,+17272236400,(727) 223-6400,Clearwater,FL,ET,Plumbing,4.9,1000,Google Places API,GBP-verified,
225,67,Total Plumbing Solutions,+18139352733,(813) 935-2733,Lutz,FL,ET,Plumbing,4.9,648,Google Places API,GBP-verified,
226,67,A Perfect Plumber LLC,+17203753900,(720) 375-3900,Englewood,CO,MT,Plumbing,5,521,Google Places API,GBP-verified,
227,66,RCI Air Conditioning Company,+13053963728,(305) 396-3728,Miami,FL,ET,HVAC,4.9,540,Google Places API,GBP-verified,
228,66,Air On Demand,+13052595669,(305) 259-5669,Miami,FL,ET,HVAC,4.9,669,Google Places API,GBP-verified,
229,66,Quality Air Conditioning Company,+19545046314,(954) 504-6314,Fort Lauderdale,FL,ET,HVAC,4.9,991,Google Places API,GBP-verified,
230,66,Cool Air USA,+18772302448,(877) 230-2448,Lauderhill,FL,ET,HVAC,4.9,4695,Google Places API,GBP-verified,
231,66,Cool by Design AC Repair & Heating,+19547109252,(954) 710-9252,Oakland Park,FL,ET,HVAC,5,393,Google Places API,GBP-verified,
232,66,Air Magic,+19544914557,(954) 491-4557,Oakland Park,FL,ET,HVAC,4.9,776,Google Places API,GBP-verified,
233,66,Air Anytime,+19545695155,(954) 569-5155,Oakland Park,FL,ET,HVAC,4.9,504,Google Places API,GBP-verified,
234,66,The Best HVAC Air Conditioning,+15618889666,(561) 888-9666,Pompano Beach,FL,ET,HVAC,4.9,335,Google Places API,GBP-verified,
235,66,"PV Heating, Cooling & Plumbing",+14702236782,(470) 223-6782,Atlanta,GA,ET,HVAC,4.9,2580,Google Places API,GBP-verified,
236,66,RS Andrews,+17707667941,(770) 766-7941,Peachtree Corners,GA,ET,HVAC,4.9,9147,Google Places API,GBP-verified,
237,66,The Air Company,+14045837788,(404) 583-7788,Atlanta,GA,ET,HVAC,5,366,Google Places API,GBP-verified,
238,66,Carter and Sons HVAC,+17704344095,(770) 434-4095,Smyrna,GA,ET,HVAC,4.9,345,Google Places API,GBP-verified,
239,66,Comfort Atlanta Heating & Air,+17708744033,(770) 874-4033,Johns Creek,GA,ET,HVAC,5,411,Google Places API,GBP-verified,
240,66,Hope Heating & AC Repair,+16789169828,(678) 916-9828,Atlanta,GA,ET,HVAC,5,557,Google Places API,GBP-verified,
241,66,Atlanta Air Pro,+14044374508,(404) 437-4508,Atlanta,GA,ET,HVAC,4.9,562,Google Places API,GBP-verified,
242,66,E. Smith Heating & Air Conditioning,+16783698866,(678) 369-8866,Marietta,GA,ET,HVAC,4.9,1792,Google Places API,GBP-verified,
243,66,Bartlett Heating & Cooling,+17704290278,(770) 429-0278,Marietta,GA,ET,HVAC,5,1719,Google Places API,GBP-verified,
244,66,Cool Air Mechanical,+14705315480,(470) 531-5480,Marietta,GA,ET,HVAC,4.9,10831,Google Places API,GBP-verified,
245,66,Dayco Systems Heating & Cooling,+14706881035,(470) 688-1035,Acworth,GA,ET,HVAC,4.9,1668,Google Places API,GBP-verified,
246,66,"E. Dennis Heating, Cooling, Plumbing & Electrical",+17705018620,(770) 501-8620,Marietta,GA,ET,HVAC,4.9,4974,Google Places API,GBP-verified,
247,66,Self Brothers Heating & Cooling,+16782103044,(678) 210-3044,Marietta,GA,ET,HVAC,5,475,Google Places API,GBP-verified,
248,66,Rescue Air and Plumbing,+19722013253,(972) 201-3253,Dallas,TX,CT,HVAC,4.9,3732,Google Places API,GBP-verified,
249,66,Airtron Heating & Air Conditioning,+12145566792,(214) 556-6792,Dallas,TX,CT,HVAC,4.9,5401,Google Places API,GBP-verified,
250,66,One Hour Air Conditioning & Heating of Dallas,+19725236625,(972) 523-6625,Carrollton,TX,CT,HVAC,4.9,1100,Google Places API,GBP-corrected,+16823270948
251,66,"Cody & Sons Plumbing, Heating & Air",+12148949629,(214) 894-9629,Dallas,TX,CT,HVAC,4.9,2225,Google Places API,GBP-verified,
252,66,Serveway Heating and Air Conditioning,+14692319379,(469) 231-9379,Dallas,TX,CT,HVAC,4.9,374,Google Places API,GBP-verified,
253,66,Moss Heating & Cooling,+19727336802,(972) 733-6802,Dallas,TX,CT,HVAC,4.9,941,Google Places API,GBP-verified,
254,66,Quality 1 Energy Systems Heating & Air Conditioning,+12148566489,(214) 856-6489,Dallas,TX,CT,HVAC,4.9,355,Google Places API,GBP-verified,
255,66,Quigley Heating & Air Conditioning of Dallas,+12145268533,(214) 526-8533,Farmers Branch,TX,CT,HVAC,4.9,572,Google Places API,GBP-verified,
256,66,Comfort Masters Heating & Air Conditioning,+18175005354,(817) 500-5354,Fort Worth,TX,CT,HVAC,4.9,1133,Google Places API,GBP-verified,
257,66,Lawrence Air Conditioning & Heating,+18178864506,(817) 886-4506,Fort Worth,TX,CT,HVAC,5,828,Google Places API,GBP-verified,
258,66,Webb Air Heating & Cooling,+18175350881,(817) 535-0881,Fort Worth,TX,CT,HVAC,5,439,Google Places API,GBP-verified,
259,66,Texan Heating and Air,+18177343073,(817) 734-3073,Fort Worth,TX,CT,HVAC,4.9,383,Google Places API,GBP-verified,
260,66,AC Genius AC Repair & Service,+18173415160,(817) 341-5160,Fort Worth,TX,CT,HVAC,4.9,497,Google Places API,GBP-verified,
261,66,"Day & Night Air Conditioning, Heating, & Plumbing",+16025847758,(602) 584-7758,Phoenix,AZ,MST,HVAC,4.9,9168,Google Places API,GBP-verified,
262,66,North Valley Mechanical HVAC & Plumbing,+16232266686,(623) 226-6686,Phoenix,AZ,MST,HVAC,4.9,1355,Google Places API,GBP-corrected,+16029754247
263,66,Scottsdale Air Heating & Cooling,+14802109071,(480) 210-9071,Phoenix,AZ,MST,HVAC,4.9,402,Google Places API,GBP-corrected,+16028342160
264,66,Cool Zone Air Conditioning & Heating,+16232500012,(623) 250-0012,Phoenix,AZ,MST,HVAC,4.9,555,Google Places API,GBP-verified,
265,66,American Home Water & Air,+16029752697,(602) 975-2697,Phoenix,AZ,MST,HVAC,4.9,2970,Google Places API,GBP-verified,
266,66,Mountainside Air Conditioning Repair,+14809143425,(480) 914-3425,Phoenix,AZ,MST,HVAC,5,527,Google Places API,GBP-verified,
267,66,SG Mechanical Air,+16237779577,(623) 777-9577,Phoenix,AZ,MST,HVAC,4.9,415,Google Places API,GBP-verified,
268,66,The Comfort Authority,+18134614819,(813) 461-4819,Tampa,FL,ET,HVAC,4.9,1752,Google Places API,GBP-verified,
269,66,3H AC of Tampa,+18139794208,(813) 979-4208,Tampa,FL,ET,HVAC,4.9,653,Google Places API,GBP-verified,
270,66,One Way Air,+18133080331,(813) 308-0331,Tampa,FL,ET,HVAC,5,849,Google Places API,GBP-verified,
271,66,Momentum AC & Electric,+18137765320,(813) 776-5320,Tampa,FL,ET,HVAC,4.9,1363,Google Places API,GBP-verified,
272,66,Right Away Heating,+17206461962,(720) 646-1962,Denver,CO,MT,HVAC,4.9,310,Google Places API,GBP-verified,
273,66,Major Heating and Air Conditioning - Denver,+17208564848,(720) 856-4848,Wheat Ridge,CO,MT,HVAC,4.9,343,Google Places API,GBP-verified,
274,66,Comfort Pros Heating and Air Conditioning,+13037442776,(303) 744-2776,Denver,CO,MT,HVAC,5,603,Google Places API,GBP-corrected,+13039454319
275,66,MileHi HVAC Contractor Denver CO,+17207700055,(720) 770-0055,Englewood,CO,MT,HVAC,4.9,313,Google Places API,GBP-verified,
276,66,The Weather Changers Heating and Air Conditioning,+13033400077,(303) 340-0077,Denver,CO,MT,HVAC,5,1275,Google Places API,GBP-verified,
277,66,"Absolute Plumbing, Electrical, Heating & Air",+17203274525,(720) 327-4525,Denver,CO,MT,HVAC,4.9,3638,Google Places API,GBP-corrected,+17209542939
278,66,Apex Clean Air AC & Heating Repair,+17207305856,(720) 730-5856,Denver,CO,MT,HVAC,4.9,1995,Google Places API,GBP-verified,
279,64,Morata Plumbing,+17865654040,(786) 565-4040,Miami,FL,ET,Plumbing,4.9,399,Google Places API,GBP-verified,
280,64,John's Plumbing,+19542808682,(954) 280-8682,Fort Lauderdale,FL,ET,Plumbing,4.9,707,Google Places API,GBP-verified,
281,64,John the Plumber,+19548072394,(954) 807-2394,Pompano Beach,FL,ET,Plumbing,4.9,2455,Google Places API,GBP-verified,
282,64,Infinity Plumbing,+19549796067,(954) 979-6067,Oakland Park,FL,ET,Plumbing,5,394,Google Places API,GBP-verified,
283,64,Pompa Plumbing Group,+17868650767,(786) 865-0767,Plantation,FL,ET,Plumbing,5,364,Google Places API,GBP-verified,
284,64,Fix & Flow Plumbing Co.,+14048003569,(404) 800-3569,Atlanta,GA,ET,Plumbing,4.9,882,Google Places API,GBP-verified,
285,64,Atlanta Plumbing & Drain CO,+14706938389,(470) 693-8389,Atlanta,GA,ET,Plumbing,4.9,803,Google Places API,GBP-verified,
286,64,Atlantis Plumbing,+17705058570,(770) 505-8570,Atlanta,GA,ET,Plumbing,4.9,2757,Google Places API,GBP-verified,
287,64,Plumbing Express,+14042366535,(404) 236-6535,Atlanta,GA,ET,Plumbing,4.9,2034,Google Places API,GBP-verified,
288,64,Blue Skies Atlanta Plumbing,+14702232360,(470) 223-2360,Stone Mountain,GA,ET,Plumbing,5,910,Google Places API,GBP-verified,
289,64,Peach Plumbing & Drain,+14702024440,(470) 202-4440,Atlanta,GA,ET,Plumbing,4.9,834,Google Places API,GBP-verified,
290,64,Pipedreamz Plumbing,+14042185650,(404) 218-5650,Atlanta,GA,ET,Plumbing,5,365,Google Places API,GBP-verified,
291,64,Zippy Plumber,+14049892110,(404) 989-2110,Alpharetta,GA,ET,Plumbing,4.9,410,Google Places API,GBP-verified,
292,64,"TE Certified, Electrical, Plumbing, Heating & Cooling",+17702993903,(770) 299-3903,Roswell,GA,ET,Plumbing,4.9,11931,Google Places API,GBP-verified,
293,64,Panther Plumbing,+14047387228,(404) 738-7228,Austell,GA,ET,Plumbing,4.9,1324,Google Places API,GBP-verified,
294,64,Public Service Plumbers,+12148311959,(214) 831-1959,Dallas,TX,CT,Plumbing,4.9,1790,Google Places API,GBP-verified,
295,64,"Milestone Electric, A/C, & Plumbing",+12147176708,(214) 717-6708,Dallas,TX,CT,Plumbing,4.9,18947,Google Places API,GBP-verified,
296,64,"Berkeys Plumbing, A/C & Electrical",+18174815869,(817) 481-5869,Dallas,TX,CT,Plumbing,4.9,3280,Google Places API,GBP-corrected,+12146120133
297,64,"Dial One Johnson Plumbing, Cooling & Heating",+14699491741,(469) 949-1741,Dallas,TX,CT,Plumbing,4.9,647,Google Places API,GBP-verified,
298,64,Workman Plumbing,+18178187813,(817) 818-7813,Dallas,TX,CT,Plumbing,5,365,Google Places API,GBP-verified,
299,64,"Benjamin Franklin Plumbing of Scottsdale, Az",+16027865183,(602) 786-5183,Scottsdale,AZ,MST,Plumbing,4.9,923,Google Places API,GBP-verified,
300,64,Zest Plumbing & Drain,+14806181750,(480) 618-1750,Scottsdale,AZ,MST,Plumbing,4.9,1382,Google Places API,GBP-verified,
301,64,Trident Plumbing & Drain,+16232409737,(623) 240-9737,Peoria,AZ,MST,Plumbing,5,1366,Google Places API,GBP-verified,
302,64,All Hours Plumber,+18136866349,(813) 686-6349,Tampa,FL,ET,Plumbing,4.9,381,Google Places API,GBP-corrected,+18137741199
303,64,Premium Plumbing,+18137736486,(813) 773-6486,Tampa,FL,ET,Plumbing,4.9,478,Google Places API,GBP-verified,
304,64,Hyper Flow Service,+18885413966,(888) 541-3966,Denver,CO,MT,Plumbing,4.9,536,Google Places API,GBP-verified,
305,63,Phoenix Roofing and Repair,+16024970154,(602) 497-0154,Phoenix,AZ,MST,Roofing,4.9,1004,Google Places API,GBP-verified,
306,63,Stonecreek Roofing,+16023243400,(602) 324-3400,Phoenix,AZ,MST,Roofing,4.9,622,Google Places API,GBP-verified,
307,63,Arizona Roofers,+14806138932,(480) 613-8932,Phoenix,AZ,MST,Roofing,5,620,Google Places API,GBP-verified,
308,59,Metro Flow Plumbing - Dallas Emergency Plumbers,+12143287371,(214) 328-7371,Dallas,TX,CT,Plumbing,4.9,1354,Google Places API,GBP-verified,
