Business Name,Phone,City,State,Niche,Rating,Reviews,Website,Address,Pain Score,Pain Evidence
AM Roofing Company,(214) 980-4366,Dallas,TX,roofing,4.9,39,https://amroofingcompany.com/?utm_source=Google_Maps&utm_medium=Website_Link-Click&utm_campaign=Google_Maps_Visits,"5641 SMU Boulevard #106, Dallas, TX 75206, USA",3,"[2*] ""I'm afraid I cannot recommend AM Roofing and Gutters - I give two stars since the work was done well..."" (keyword: never responded)"
Phoenix Electrical Contracting,(866) 650-9644,Phoenix,AZ,electrical contractor,4.9,19,,"4717 N 39th Dr, Phoenix, AZ 85019, USA",3,No website | Only 19 reviews
Electrical Enterprises Inc,(317) 784-2224,Indianapolis,IN,electrical contractor,4.6,17,,"5715 Churchman Ave Suite M, Indianapolis, IN 46203, USA",3,No website | Only 17 reviews
Bone Dry Roofing,(629) 225-7067,Nashville,TN,roofing,4.8,301,https://www.bonedry.com/nashville/?utm_source=directories&utm_medium=directories&utm_id=BDR-DIG-DIR-GENI-NASH-PHO-GMB-202402-GBPLISTINGNASHVILLE,"4201 Sidco Dr, Nashville, TN 37204, USA",3,"[1*] ""Unresponsive and dishonest pricing. I had an estimate done 4 months ago for some repairs and loved o..."" (keyword: no response)"
Best Roofing Kansas City,(913) 318-8097,Kansas,MO,roofing,4.9,131,https://bestroofinginkansascity.com/,"12022 Blue Valley Pkwy, Overland Park, KS 66213, USA",3,"[2*] ""Best roofing provided poor service.  We asked for black shingles and they brought out a black, grayi..."" (keyword: poor communication)"
National Economy Plumbers,(901) 278-4242,Memphis,TN,plumbing,4.6,135,https://nationaleconomyplumbers.com/,"2114 Southern Ave, Memphis, TN 38114, USA",3,"[1*] ""I Do Not Recommend National Economy Plumbers.  Nothing economy about $1,080 in labor for replacing 2..."" (keyword: tried calling)"
"Bluff City Electrical Contractors, LLC",(901) 245-8765,Memphis,TN,electrical contractor,4.5,25,http://www.bluffcityelectrical.com/,"5770 US-51, Memphis, TN 38127, USA",3,"[1*] ""Very poor communication all around. Company never checked in or out when arriving to the job as dire..."" (keyword: no answer)"
Electrical Contractor's Inc,(901) 396-6907,Memphis,TN,electrical contractor,4.7,3,,"3412 Winbrook Dr, Memphis, TN 38116, USA",3,No website | Only 3 reviews
Louisville Hvac Pro’s,(502) 553-8534,Louisville,KY,HVAC,4.9,129,http://www.louisvillehvacpros.com/,"10810 Holsclaw Hill Rd, Fairdale, KY 40118, USA",3,"[1*] ""Wow. I’m pretty sure this company is a scam run with AI. I spoke to the owner on Wednesday-the male ..."" (keyword: called multiple times)"
HKC Roofing & Construction,(502) 212-1081,Louisville,KY,roofing,4.6,198,https://roofyourhouse.com/,"5061 Poplar Level Rd, Louisville, KY 40219, USA",3,"[1*] ""Would not recommend. Left paint stains on my driveway, ruined the gutter guards they should have rem..."" (keyword: no response)"
"Air Factory Heating & Cooling Co., LLC",(405) 243-1613,Oklahoma,OK,HVAC,4.8,309,https://www.airfactoryokc.com/,"9619 Hefner Village Blvd, Oklahoma City, OK 73162, USA",3,"[5*] ""Bill and his company are outstanding!! You will not find better service or quality work anywhere els..."" (keyword: no response)"
"Allstate Electrical Contractors, Inc",(405) 235-6543,Oklahoma,OK,electrical contractor,3,9,http://www.allstateelectricokc.com/,"1524 S May Ave, Oklahoma City, OK 73108, USA",3,Only 9 reviews | Rating: 3
J. R. Lane Plumbing Co.,(919) 231-1388,Raleigh,NC,plumbing,4.7,169,https://laneplumbingraleigh.com/,"805 Sunnybrook Rd, Raleigh, NC 27610, USA",3,"[5*] ""I genuinely cannot say enough good things about Lane Plumbing. If you’re looking for a plumber who w..."" (keyword: answering machine)"
"Ram Plumbing, Inc.",(520) 214-1976,Tucson,AZ,plumbing,4.8,454,https://www.ramplumbingaz.com/,"2500 N Coyote Dr Suite 112, Tucson, AZ 85745, USA",3,"[4*] ""David Cook was sent out when I found my hot water heater leaking on a Friday night. He was able to s..."" (keyword: tried calling)"
Curtis Plumbing,(520) 323-7697,Tucson,AZ,plumbing,4.8,221,https://curtisplumbing.net/,"4281 E Tennessee St, Tucson, AZ 85714, USA",3,"[5*] ""Woke up Christmas Eve and septic tank was FULL! Called around and got no answer or response from oth..."" (keyword: no answer)"
"Southern Arizona Roof Associates, LLC",(520) 438-7663,Tucson,AZ,roofing,4.9,88,https://getroof.com/,"3429 E Kleindale Rd #101, Tucson, AZ 85716, USA",3,"[5*] ""Dan and his team at Southern Arizona Roofing Associates have exceeded my expectations with their exc..."" (keyword: tried calling)"
Action Electric Co,(713) 392-5795,Houston,TX,electrical contractor,4.9,103,,"11526 Dunlap St, Houston, TX 77035, USA",2,No website
Dallas Electrics Contractor Pros,(214) 206-8435,Dallas,TX,electrical contractor,4.8,21,,"1810 High Hill Blvd, Dallas, TX 75203, USA",2,No website
Phoenix Best Electricians,(602) 780-1140,Phoenix,AZ,electrical contractor,4.8,124,,"8929 N Central Ave #53C, Phoenix, AZ 85020, USA",2,No website
Barth Electric Co Inc,(317) 924-6226,Indianapolis,IN,electrical contractor,3.7,21,http://www.barthelectric.com/,"1934 N Illinois St, Indianapolis, IN 46202, USA",2,Rating: 3.7
Indy Electric,(317) 746-6752,Indianapolis,IN,electrical contractor,5,25,,"4320 W 59th St #1204, Indianapolis, IN 46254, USA",2,No website
Wiggins Brothers Electricians Co,(317) 751-9551,Indianapolis,IN,electrical contractor,4.7,79,,"8260 Naab Rd #4240, Indianapolis, IN 46260, USA",2,No website
KJ Electric Co. Inc.,(210) 736-6155,San,TX,electrical contractor,4.8,51,,"2630 Culebra Rd, San Antonio, TX 78228, USA",2,No website
Adept Electric Birmingham Co,(659) 207-8256,Birmingham,AL,electrical contractor,5,27,,"4117 2nd Ave S, Birmingham, AL 35222, USA",2,No website
Tucson Fast House Electric,(520) 523-2894,Tucson,AZ,electrical contractor,4.8,137,,"7018 E Golf Links Rd #5470, Tucson, AZ 85730, USA",2,No website
